ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0000950123-24-012413	021-533759               	31-DEC-2024		X0708	D	LIVE		
0001123292-24-000419	021-533754               	31-DEC-2024		X0708	D	LIVE		
0002050037-24-000001	021-533726               	30-DEC-2024		X0708	D	LIVE		
0001901857-24-000001	021-427091               	30-DEC-2024		X0708	D/A	LIVE		
0002049310-24-000002	021-533725               	30-DEC-2024		X0708	D	LIVE		
0002049310-24-000001	021-533724               	30-DEC-2024		X0708	D	LIVE		
0001104659-24-132568	021-533723               	30-DEC-2024		X0708	D	LIVE		
0002042307-24-000002	021-533722               	30-DEC-2024		X0708	D	LIVE		
0002049444-24-000001	021-533721               	30-DEC-2024		X0708	D	LIVE		
0001747998-24-000001	021-456770               	30-DEC-2024		X0708	D/A	LIVE		
0001595806-24-000003	021-533720               	30-DEC-2024		X0708	D	LIVE		
0002025679-24-000003	021-515317               	30-DEC-2024		X0708	D/A	LIVE		
0001493152-24-052557	021-533719               	30-DEC-2024		X0708	D	LIVE		
0002049965-24-000001	021-533718               	30-DEC-2024		X0708	D	LIVE		
0002048136-24-000001	021-533717               	30-DEC-2024		X0708	D	LIVE		
0002050394-24-000001	021-533716               	30-DEC-2024		X0708	D	LIVE		
0002005539-24-000001	021-501032               	30-DEC-2024		X0708	D/A	LIVE		
0002013363-24-000011	021-506154               	30-DEC-2024		X0708	D/A	LIVE		
0001104659-24-132557	021-329244               	30-DEC-2024	3100	X0708	D/A	LIVE		
0001104659-24-132556	021-292475               	30-DEC-2024	3100	X0708	D/A	LIVE		
0002029018-24-000001	021-533715               	30-DEC-2024		X0708	D	LIVE		
0002049494-24-000001	021-533714               	30-DEC-2024		X0708	D	LIVE		
0002020118-24-000001	021-533713               	30-DEC-2024		X0708	D	LIVE		
0000892712-24-000146	021-533712               	30-DEC-2024		X0708	D	LIVE		
0002050386-24-000001	021-533711               	30-DEC-2024		X0708	D	LIVE		
0002049530-24-000002	021-533710               	30-DEC-2024		X0708	D	LIVE		
0002050390-24-000001	021-533709               	30-DEC-2024		X0708	D	LIVE		
0001104659-24-132548	021-269038               	30-DEC-2024	3100	X0708	D/A	LIVE		
0001635568-24-000001	021-250050               	30-DEC-2024		X0708	D/A	LIVE		
0002049530-24-000001	021-533707               	30-DEC-2024		X0708	D	LIVE		
0001104659-24-132547	021-232757               	30-DEC-2024	3100	X0708	D/A	LIVE		
0002031304-24-000001	021-533706               	30-DEC-2024		X0708	D	LIVE		
0001958483-24-000001	021-533705               	30-DEC-2024		X0708	D	LIVE		
0002049508-24-000001	021-533704               	30-DEC-2024		X0708	D	LIVE		
0001958268-24-000002	021-469128               	30-DEC-2024		X0708	D/A	LIVE		
0000950123-24-012409	021-469051               	30-DEC-2024		X0708	D/A	LIVE		
0002041910-24-000002	021-533703               	30-DEC-2024		X0708	D	LIVE		
0001931091-24-000001	021-533702               	30-DEC-2024		X0708	D	LIVE		
0002050315-24-000001	021-533701               	30-DEC-2024		X0708	D	LIVE		
0001811862-24-000003	021-533708               	30-DEC-2024		X0708	D	LIVE		
0002049159-24-000001	021-533700               	30-DEC-2024		X0708	D	LIVE		
0002049359-24-000001	021-533699               	30-DEC-2024		X0708	D	LIVE		
0001948249-24-000001	021-468996               	30-DEC-2024		X0708	D/A	LIVE		
0001721186-24-000001	021-533698               	30-DEC-2024		X0708	D	LIVE		
0002043060-24-000001	021-533697               	30-DEC-2024		X0708	D	LIVE		
0001952924-24-000003	021-465096               	30-DEC-2024		X0708	D/A	LIVE		
0001104659-24-132525	021-533696               	30-DEC-2024	2834	X0708	D	LIVE		
0002050254-24-000001	021-533695               	30-DEC-2024		X0708	D	LIVE		
0000945621-24-001036	021-533694               	30-DEC-2024		X0708	D	LIVE		
0002050333-24-000001	021-533693               	30-DEC-2024		X0708	D	LIVE		
0002050255-24-000001	021-533692               	30-DEC-2024		X0708	D	LIVE		
0002038417-24-000002	021-533691               	30-DEC-2024		X0708	D	LIVE		
0002046541-24-000001	021-533690               	30-DEC-2024		X0708	D	LIVE		
0002043544-24-000002	021-533689               	30-DEC-2024		X0708	D	LIVE		
0001617125-24-000002	021-532231               	30-DEC-2024		X0708	D/A	LIVE		
0002049699-24-000001	021-533688               	30-DEC-2024		X0708	D	LIVE		
0000902664-24-007067	021-533687               	30-DEC-2024		X0708	D	LIVE		
0002041893-24-000002	021-533686               	30-DEC-2024		X0708	D	LIVE		
0001566253-24-000002	021-189849               	30-DEC-2024		X0708	D/A	LIVE		
0001981123-24-000001	021-483962               	30-DEC-2024		X0708	D/A	LIVE		
0002049826-24-000002	021-533685               	30-DEC-2024		X0708	D	LIVE		
0002045835-24-000001	021-533684               	30-DEC-2024		X0708	D	LIVE		
0001953285-24-000001	021-468086               	30-DEC-2024		X0708	D/A	LIVE		
0001898407-24-000003	021-490063               	30-DEC-2024		X0708	D/A	LIVE		
0001741708-24-000002	021-533683               	30-DEC-2024		X0708	D	LIVE		
0002042368-24-000007	021-472132               	30-DEC-2024		X0708	D/A	LIVE		
0002001301-24-000002	021-501215               	30-DEC-2024		X0708	D/A	LIVE		
0002016662-24-000001	021-533682               	30-DEC-2024		X0708	D	LIVE		
